  n, insertion_cmp, insertion_swaps, insertion_time, bubble_cmp, bubble_swaps, bubble_time
  0,             0,               0,              0,          0,            0,           0
  1,             0,               0,              0,          0,            0,           0
  2,             1,               0,              0,          1,            0,           0
  3,             2,               0,              0,          3,            0,           0
  4,             4,               1,              0,          6,            1,           0
  5,             5,               1,              0,         10,            1,           0
  6,             9,               4,              0,         15,            4,           0
  7,            12,               6,              0,         21,            6,           0
  8,            13,               6,              0,         28,            6,           0
  9,            14,               6,              0,         36,            6,           0
 10,            16,               7,              0,         45,            7,           0
 11,            18,               8,              0,         55,            8,           0
 12,            19,               8,              0,         66,            8,           0
 13,            20,               8,              0,         78,            8,           0
 14,            21,               8,              0,         91,            8,           0
 15,            22,               8,              0,        105,            8,           0
 16,            23,               8,              0,        120,            8,           0
 17,            24,               8,              0,        136,            8,           0
 18,            25,               8,              0,        153,            8,           0
 19,            27,               9,              0,        171,            9,           0
 20,            28,               9,              0,        190,            9,           0
 21,            29,               9,              0,        210,            9,           0
 22,            30,               9,              0,        231,            9,           0
 23,            31,               9,              0,        253,            9,           0
 24,            32,               9,              0,        276,            9,           0
 25,            33,               9,              0,        300,            9,           0
 26,            34,               9,              0,        325,            9,           0
 27,            35,               9,              0,        351,            9,           0
 28,            37,              10,              0,        378,           10,           0
 29,            39,              11,              0,        406,           11,           0
 30,            40,              11,              0,        435,           11,           0
 31,            41,              11,              0,        465,           11,           0
 32,            42,              11,              0,        496,           11,           0
 33,            43,              11,              0,        528,           11,           0
 34,            44,              11,              0,        561,           11,           0
 35,            46,              12,              0,        595,           12,           0
 36,            48,              13,              0,        630,           13,           0
 37,            50,              14,              0,        666,           14,           0
 38,            55,              18,              0,        703,           18,           0
 39,            56,              18,              0,        741,           18,           0
 40,            57,              18,              0,        780,           18,           0
 41,            58,              18,              0,        820,           18,          13
 42,            59,              18,              0,        861,           18,           0
 43,            61,              19,              0,        903,           19,           0
 44,            63,              20,              0,        946,           20,           0
 45,            65,              21,              0,        990,           21,           0
 46,            66,              21,              0,       1035,           21,           0
 47,            67,              21,              0,       1081,           21,           2
 48,            68,              21,              0,       1128,           21,           0
 49,            69,              21,              0,       1176,           21,           0
 50,            71,              22,              0,       1225,           22,           0
 51,            72,              22,              0,       1275,           22,           0
 52,            73,              22,              0,       1326,           22,           0
 53,            75,              23,              0,       1378,           23,           0
 54,            77,              24,              0,       1431,           24,           0
 55,            78,              24,              0,       1485,           24,           0
 56,            80,              25,              0,       1540,           25,           0
 57,            81,              25,              0,       1596,           25,           0
 58,            82,              25,              0,       1653,           25,           0
 59,            83,              25,              0,       1711,           25,           0
 60,            85,              26,              0,       1770,           26,           0
 61,            86,              26,              0,       1830,           26,           0
 62,            87,              26,              0,       1891,           26,           0
 63,            88,              26,              0,       1953,           26,           0
 64,            89,              26,              0,       2016,           26,           0
 65,            90,              26,              0,       2080,           26,           0
 66,            91,              26,              0,       2145,           26,           0
 67,            92,              26,              0,       2211,           26,           0
 68,            94,              27,              0,       2278,           27,           0
 69,            97,              29,              0,       2346,           29,           0
 70,           100,              31,              0,       2415,           31,           0
 71,           101,              31,              0,       2485,           31,           0
 72,           102,              31,              0,       2556,           31,           0
 73,           104,              32,              0,       2628,           32,           0
 74,           106,              33,              0,       2701,           33,           0
 75,           107,              33,              0,       2775,           33,           0
 76,           108,              33,              0,       2850,           33,           0
 77,           109,              33,              0,       2926,           33,           0
 78,           111,              34,              0,       3003,           34,           0
 79,           112,              34,              0,       3081,           34,           0
 80,           113,              34,              0,       3160,           34,           0
 81,           114,              34,              0,       3240,           34,          15
 82,           115,              34,              0,       3321,           34,           0
 83,           116,              34,              0,       3403,           34,           0
 84,           117,              34,              0,       3486,           34,           0
 85,           118,              34,              0,       3570,           34,           0
 86,           119,              34,              0,       3655,           34,           0
 87,           120,              34,              0,       3741,           34,           0
 88,           121,              34,              0,       3828,           34,           0
 89,           122,              34,              0,       3916,           34,           0
 90,           124,              35,              0,       4005,           35,           0
 91,           125,              35,              0,       4095,           35,          14
 92,           126,              35,              0,       4186,           35,           1
 93,           128,              36,              0,       4278,           36,           1
 94,           129,              36,              0,       4371,           36,           0
 95,           130,              36,              0,       4465,           36,           0
 96,           131,              36,              0,       4560,           36,           0
 97,           132,              36,              0,       4656,           36,           0
 98,           134,              37,              0,       4753,           37,           0
 99,           136,              38,              0,       4851,           38,          10
100,           137,              38,              0,       4950,           38,           0
