  n, heap2_cmp, heap2_swaps, heap2_time, merge_cmp, merge_swaps, merge_time
  0,         0,           0,          0,         0,           0,          0
  1,         0,           1,          0,         0,           0,          0
  2,         1,           2,          0,         1,           0,          0
  3,         3,           5,          0,         3,           0,          0
  4,         6,           8,          0,         4,           0,          0
  5,         9,          10,          0,         6,           0,          0
  6,        15,          13,          0,        11,           0,          0
  7,        22,          17,          0,        14,           0,          0
  8,        27,          20,          0,        16,           0,          0
  9,        32,          23,          0,        20,           0,          0
 10,        38,          27,          0,        21,           0,          0
 11,        46,          31,          0,        26,           0,          0
 12,        51,          36,          0,        31,           0,          0
 13,        58,          40,          0,        36,           0,          0
 14,        65,          42,          0,        36,           0,          0
 15,        73,          45,          0,        41,           0,          0
 16,        70,          45,          0,        45,           0,          0
 17,        77,          48,          1,        50,           0,          0
 18,        84,          53,          0,        56,           0,          0
 19,        91,          56,          0,        59,           0,          0
 20,       100,          61,          0,        62,           0,          0
 21,       109,          66,          0,        67,           0,          0
 22,       119,          71,          0,        70,           0,          0
 23,       129,          77,          0,        79,           0,          0
 24,       139,          83,          0,        84,           0,          0
 25,       147,          87,          0,        90,           0,          0
 26,       156,          93,          0,        88,           0,          0
 27,       163,          97,          0,        97,           0,          0
 28,       170,         100,          0,        99,           0,          0
 29,       177,         103,          0,       103,           0,          0
 30,       182,         105,          0,       111,           0,          0
 31,       187,         107,          0,       113,           0,          0
 32,       187,         109,          0,       121,           0,          0
 33,       197,         113,          0,       126,           0,          1
 34,       206,         118,          0,       133,           0,          0
 35,       206,         120,          0,       138,           0,          0
 36,       215,         125,          0,       147,           0,          0
 37,       224,         130,          0,       154,           0,          0
 38,       234,         135,          0,       151,           0,          0
 39,       237,         135,          0,       157,           0,          0
 40,       246,         140,          1,       161,           0,          0
 41,       255,         146,          0,       166,           0,          0
 42,       266,         151,          0,       173,           0,          0
 43,       275,         155,          0,       180,           0,          0
 44,       282,         162,          0,       180,           0,          0
 45,       289,         165,          1,       182,           0,          0
 46,       310,         174,          0,       201,           0,          0
 47,       321,         179,          0,       208,           0,          0
 48,       332,         185,          0,       208,           0,          0
 49,       343,         190,          0,       214,           0,          0
 50,       352,         194,          0,       226,           0,          0
 51,       367,         206,          0,       233,           0,          0
 52,       373,         208,          0,       231,           0,          0
 53,       377,         209,          0,       237,           0,          0
 54,       388,         215,          0,       243,           0,          0
 55,       399,         222,          0,       254,           0,          0
 56,       411,         227,          0,       256,           0,          0
 57,       415,         228,          0,       261,           0,          0
 58,       423,         231,          0,       266,           0,          0
 59,       435,         237,          0,       275,           0,          0
 60,       467,         255,          0,       283,           0,          0
 61,       479,         261,          0,       288,           0,          0
 62,       486,         264,          0,       291,           0,          0
 63,       447,         241,          0,       297,           0,          8
 64,       487,         265,          0,       308,           0,          0
 65,       491,         265,          0,       313,           0,          0
 66,       502,         271,          0,       319,           0,          0
 67,       513,         277,          0,       326,           0,          0
 68,       524,         283,          1,       334,           0,          0
 69,       535,         289,          0,       342,           0,          0
 70,       547,         295,          0,       342,           0,          0
 71,       559,         301,          0,       348,           0,          0
 72,       566,         308,          1,       362,           0,          0
 73,       577,         314,          0,       370,           0,          0
 74,       590,         323,          0,       374,           0,          3
 75,       601,         329,          0,       381,           0,          0
 76,       602,         327,          0,       384,           0,          0
 77,       604,         328,          0,       386,           0,          0
 78,       605,         328,          0,       388,           0,          0
 79,       619,         335,          0,       403,           0,          0
 80,       613,         334,          0,       401,           0,          0
 81,       618,         336,          0,       407,           0,          0
 82,       636,         345,          0,       416,           0,          0
 83,       642,         347,          0,       426,           0,          0
 84,       646,         348,          0,       432,           0,          0
 85,       650,         349,          0,       441,           0,          0
 86,       650,         353,          0,       445,           0,          0
 87,       653,         354,          0,       451,           0,          0
 88,       676,         361,          0,       452,           0,         12
 89,       684,         364,          0,       459,           0,          0
 90,       697,         370,          1,       457,           0,          0
 91,       700,         372,          0,       470,           0,          0
 92,       698,         373,          0,       490,           0,          0
 93,       693,         366,          0,       496,           0,          0
 94,       723,         389,          0,       507,           0,          0
 95,       718,         385,          0,       507,           0,          0
 96,       730,         390,          0,       514,           0,          0
 97,       759,         404,          0,       520,           0,          0
 98,       772,         411,          0,       533,           0,          0
 99,       785,         418,          0,       533,           0,          0
100,       790,         420,          0,       549,           0,          0
