  n, heap_cmp, heap_swaps, heap_time, merge_cmp, merge_swaps, merge_time
  0,        0,          0,         0,         0,           0,          0
  1,        0,          0,         0,         0,           0,          0
  2,        1,          1,         0,         1,           0,          0
  3,        3,          3,         0,         3,           0,          0
  4,        6,          6,         0,         4,           0,          0
  5,       11,         10,         0,         6,           0,          0
  6,       15,         12,         0,        11,           0,          0
  7,       19,         14,         0,        14,           0,          0
  8,       27,         19,         0,        16,           0,          0
  9,       33,         20,         0,        20,           0,          0
 10,       37,         23,         0,        21,           0,          0
 11,       46,         28,         0,        26,           0,          0
 12,       51,         33,         0,        31,           0,          0
 13,       56,         35,         0,        36,           0,          0
 14,       61,         38,         0,        36,           0,          0
 15,       68,         43,         0,        41,           0,          0
 16,       80,         53,         0,        45,           0,          0
 17,       90,         55,         0,        50,           0,          0
 18,       99,         61,         0,        56,           0,          0
 19,      106,         65,         0,        59,           0,          0
 20,      116,         72,         0,        62,           0,          0
 21,      124,         74,         0,        67,           0,         15
 22,      127,         76,         0,        70,           0,          0
 23,      137,         81,         0,        79,           0,          0
 24,      145,         88,         1,        84,           0,          0
 25,      154,         93,         0,        90,           0,          0
 26,      164,        101,         0,        88,           0,          0
 27,      170,        102,         0,        97,           0,          0
 28,      179,        107,         0,        99,           0,          0
 29,      186,        109,         0,       103,           0,          0
 30,      194,        115,         0,       111,           0,          0
 31,      202,        121,         0,       113,           0,          0
 32,      217,        130,         4,       121,           0,          0
 33,      226,        136,         0,       126,           0,          0
 34,      242,        143,         0,       133,           0,          0
 35,      253,        148,         0,       138,           0,          0
 36,      260,        153,         0,       147,           0,          0
 37,      268,        157,         0,       154,           0,          0
 38,      275,        159,         0,       151,           0,          0
 39,      288,        168,         0,       157,           0,          0
 40,      301,        173,         0,       161,           0,          0
 41,      310,        178,         0,       166,           0,          0
 42,      320,        183,         0,       173,           0,          0
 43,      335,        194,         0,       180,           0,          9
 44,      347,        203,         0,       180,           0,          0
 45,      357,        212,         0,       182,           0,          0
 46,      365,        213,         0,       201,           0,          0
 47,      375,        218,         0,       208,           0,          0
 48,      389,        228,         0,       208,           0,          0
 49,      400,        233,         0,       214,           0,          0
 50,      409,        241,         0,       226,           0,          0
 51,      417,        244,         0,       233,           0,          0
 52,      432,        254,         0,       231,           0,          0
 53,      443,        264,         0,       237,           0,          0
 54,      454,        267,         0,       243,           0,          0
 55,      462,        272,         0,       254,           0,          0
 56,      472,        277,         0,       256,           0,         15
 57,      479,        276,         0,       261,           0,          0
 58,      497,        290,         0,       266,           0,          0
 59,      514,        295,         0,       275,           0,          0
 60,      521,        305,         0,       283,           0,          0
 61,      534,        309,         0,       288,           0,          0
 62,      543,        313,         0,       291,           0,          0
 63,      553,        319,         0,       297,           0,          0
 64,      559,        322,         0,       308,           0,          0
 65,      578,        331,         0,       313,           0,          0
 66,      588,        335,         0,       319,           0,          0
 67,      594,        342,        15,       326,           0,          0
 68,      617,        357,         0,       334,           0,          0
 69,      628,        360,         0,       342,           0,          0
 70,      638,        363,         0,       342,           0,          0
 71,      653,        370,         0,       348,           0,          0
 72,      669,        378,         0,       362,           0,          0
 73,      675,        381,         0,       370,           0,          0
 74,      682,        389,         0,       374,           0,          0
 75,      702,        402,         0,       381,           0,          0
 76,      707,        407,         0,       384,           0,          0
 77,      725,        414,         0,       386,           0,         15
 78,      732,        419,         0,       388,           0,          0
 79,      753,        426,         0,       403,           0,          0
 80,      760,        434,         0,       401,           0,          0
 81,      777,        439,         0,       407,           0,          0
 82,      791,        451,         0,       416,           0,          0
 83,      798,        449,         0,       426,           0,          0
 84,      809,        461,         0,       432,           0,          0
 85,      827,        473,         0,       441,           0,          0
 86,      835,        471,         0,       445,           0,          0
 87,      858,        485,         0,       451,           0,          0
 88,      862,        493,         0,       452,           0,          0
 89,      877,        496,         0,       459,           0,          0
 90,      892,        508,         0,       457,           0,         15
 91,      906,        512,         0,       470,           0,          0
 92,      919,        521,         0,       490,           0,          0
 93,      925,        523,         0,       496,           0,          0
 94,      942,        530,         0,       507,           0,          0
 95,      958,        539,         0,       507,           0,          0
 96,      969,        546,         0,       514,           0,          0
 97,      985,        557,         0,       520,           0,          0
 98,      997,        564,         0,       533,           0,          0
 99,     1011,        570,         0,       533,           0,          0
100,     1019,        577,         0,       549,           0,          0
